name,region,gl_type,region_type,area,volume,lat,lon
IC_2, NO, LT, ice_cap, 0.75,      0, 83.46478, -27.36879 
IC_3, NO, LT, ice_cap, 0.01,      0, 83.42904, -27.17277 
IC_4, NO, LT, ice_cap, 0.01,      0, 83.45904, -28.37387 
IC_5, NO, LT, ice_cap, 0.01,      0, 83.43200, -28.79659 
IC_7, NO, LT, ice_cap, 0.01,      0, 83.42940, -28.92040 
IC_9, NO, LT, ice_cap, 0.01,      0, 83.42618, -29.32122 
IC_10, NO, LT, ice_cap, 0.01,      0, 83.41904, -29.13015 
IC_11, NO, LT, ice_cap, 0.06,      0, 83.41144, -28.90847 
IC_12, NO, LT, ice_cap, 0.01,      0, 83.39855, -28.91443 
IC_16, NO, LT, ice_cap, 0.01,      0, 83.58207, -36.99215 
IC_8, NO, LT, ice_cap, 6.26,      0, 83.59058, -36.43134 
IC_15, NO, LT, ice_cap, 0.18,      0, 83.58468, -37.03691 
IC_17, NO, LT, ice_cap, 0.01,      0, 83.34337, -27.95067 
IC_18, NO, LT, ice_cap, 0.01,      0, 83.34195, -27.93782 
IC_13, NO, LT, ice_cap, 8.05,      0, 83.43938, -31.28005 
IC_20, NO, LT, ice_cap, 0.01,      0, 83.31859, -27.74292 
IC_22, NO, LT, ice_cap, 0.01,      0, 83.31744, -27.73771 
IC_21, NO, LT, ice_cap, 0.02,      0, 83.31459, -27.64598 
IC_23, NO, LT, ice_cap, 0.24,      0, 83.31516, -27.75481 
IC_24, NO, LT, ice_cap, 0.04,      0, 83.31142, -27.69793 
IC_25, NO, LT, ice_cap, 0.01,      0, 83.48224, -33.64555 
IC_26, NO, LT, ice_cap, 0.01,      0, 83.46038, -32.72664 
IC_27, NO, LT, ice_cap, 0.05,      0, 83.42192, -31.37733 
IC_29, NO, LT, ice_cap, 0.01,      0, 83.46401, -33.26518 
IC_19, NO, LT, ice_cap, 17.57,      0, 83.54458, -37.38116 
