id,sector_id,name,region,sector_type,gl_type,area,volume,lat,lon
001,057,NIOGHALVFJERDSFJORDEN,NE,TW, ice_sheet, 108288.3, 234537.76, 78.26728, -35.83446 
002,058,ZACHARIAE_ISSTROM,NE,TW, ice_sheet, 89768.8, 220275.68, 76.13748, -35.06483 
003,217,JAKOBSHAVN_ISBRAE,CW,TW, ice_sheet, 78155.4, 196676.14, 69.74218, -42.80846 
004,222,PETERMANN_GLETSCHER,NO,TW, ice_sheet, 71268.7, 147502.67, 78.99599, -51.12405 
005,039,SAQQAP-MAJORQAQ-SOUTHTERRUSSEL_SOUTHQUARUSSEL,SW,LT, ice_sheet, 60904.1, 93152.10, 65.93980, -46.99479 
006,240,STORSTROMMEN,NE,LT, ice_sheet, 56437.7, 107721.54, 75.97336, -30.73944 
007,101,KANGERLUSSUAQ,CE,TW, ice_sheet, 50714.5, 100232.92, 69.54051, -35.12101 
008,062,HELHEIMGLETSCHER,SE,TW, ice_sheet, 50283.0, 107403.25, 67.60682, -39.28595 
009,059,DAUGAARD-JENSEN,CE,TW, ice_sheet, 49925.9, 114072.00, 71.92047, -33.97462 
010,049,HUMBOLDT_GLETSCHER,NO,TW, ice_sheet, 46941.9, 75671.74, 78.61786, -58.49780 
011,008,STORE_GLETSCHER,CW,TW, ice_sheet, 30047.8, 75035.08, 71.39093, -43.96187 
012,002,RINK_ISBRAE,CW,TW, ice_sheet, 29682.5, 65999.81, 72.31730, -45.92344 
013,052,RYDER_GLETSCHER,NO,TW, ice_sheet, 28746.3, 49569.82, 80.08499, -46.51969 
014,010,USULLUUP_SERMIA,SW,LT, ice_sheet, 25951.9, 50996.94, 67.94600, -45.34826 
015,213,HAYES_GLETSCHER_N_NN,NW,TW, ice_sheet, 24818.2, 52891.90, 75.56653, -49.64199 
016,138,WALTERSHAUSEN,NE,TW, ice_sheet, 24130.8, 40759.18, 74.40863, -30.88518 
017,126,KONG_OSCAR_GLETSCHER,NW,TW, ice_sheet, 22586.8, 45178.56, 77.00224, -54.21560 
018,238,AB_DRACHMANN_GLETSCHER_L_BISTRUP_BRAE,NE,LT, ice_sheet, 21634.8, 24235.23, 75.84157, -27.10224 
019,219,NORDENSKIOLD_GLETSCHER,CW,LT, ice_sheet, 21214.4, 44017.12, 68.50913, -44.67864 
020,085,UPERNAVIK_ISSTROM_N,NW,TW, ice_sheet, 21026.5, 50574.55, 73.41007, -46.37564 
021,031,ILLULLIP_SERMIA,NW,TW, ice_sheet, 19835.5, 42845.30, 74.63176, -48.53345 
022,060,EIELSON_HARE_FJORD-ROLIGE,CE,TW, ice_sheet, 18788.8, 29111.69, 70.86441, -31.81233 
023,080,SERMEQ_KUJALLEQ,CW,TW, ice_sheet, 18287.3, 45052.74, 70.79865, -43.58813 
